name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
D.Westbrook,WR,JAC,13158,174,202.52,62,408
D.Booker,RB,DEN,12629,277,203.29,86,383
R.Woods,WR,LAR,11228,265,207.95,95,415
T.Williams,WR,DAL,11211,187,208.78,42,446
K.Williams,RB,ARI,11185,149,208.88,97,375
B.Oliver,RB,LAC,11941,272,209.89,88,378
R.Turbin,RB,IND,10714,201,210.82,95,488
C.Ivory,RB,JAC,10077,206,211.50,87,474
A.Seferian-Jenkins,TE,NYJ,11697,236,212.49,90,472
G.Kittle,TE,SF,13299,154,212.94,107,441
E.Rogers,WR,PIT,12731,166,213.77,70,458
C.Conley,WR,KC,12257,197,214.05,89,398
T.Savage,QB,HOU,11649,130,214.22,49,497
T.Boyd,WR,CIN,12650,136,221.96,96,437
K.Drake,RB,MIA,12630,143,222.94,127,350
